Symbol,Company Name,Market Cap,Stock Price,% Change,Industry,Volume,PE Ratio
NVDA,NVIDIA Corporation,3562653362000,145.87,-0.82%,Semiconductors,77614287,57.23
AAPL,Apple Inc.,3365933157000,224.12,0.13%,Consumer Electronics,23669863,36.81
AMZN,"Amazon.com, Inc.",2463034651500,234.08,-0.40%,Internet Retail,10949108,50.06
GOOG,Alphabet Inc.,2438040889686,201.55,0.76%,Internet Content & Information,5289101,26.53
META,"Meta Platforms, Inc.",1586990756841,629.22,0.92%,Internet Content & Information,3447185,29.64
TSLA,"Tesla, Inc.",1326846200400,412.05,-0.74%,Auto Manufacturers,27043991,113.22
AVGO,Broadcom Inc.,1129231897600,238.16,-1.14%,Semiconductors,6424999,195.86
TSM,Taiwan Semiconductor Manufacturing Company Limited,1157153609777,223.69,0.22%,Semiconductors,5534273,34.80
JPM,JPMorgan Chase & Co.,739983965600,264.64,0.68%,Banks - Diversified,4062743,14.62
ORCL,Oracle Corporation,518556384000,184.57,0.19%,Software - Infrastructure,8161724,45.38
MA,Mastercard Incorporated,480138674240,533.43,1.19%,Credit Services,825011,39.85
NFLX,"Netflix, Inc.",420255332700,979.77,2.70%,Entertainment,4085786,55.52
HD,"The Home Depot, Inc.",407378166300,412.10,0.49%,Home Improvement Retail,1219993,27.84
BAC,Bank of America Corporation,355845759300,46.72,2.02%,Banks - Diversified,15616743,16.94
CRM,"Salesforce, Inc.",318317340000,332.80,0.05%,Software - Application,1613101,54.71
ASML,ASML Holding N.V.,297229041920,746.82,-2.59%,Semiconductor Equipment & Materials,1009158,39.23
CVX,Chevron Corporation,281604003000,156.05,-0.23%,Oil & Gas Integrated,2097079,17.24
WFC,Wells Fargo & Company,258168654600,77.84,0.39%,Banks - Diversified,3131659,16.09
AXP,American Express Company,227007401250,324.74,0.77%,Credit Services,1286335,23.71
ACN,Accenture plc,224616122800,362.63,0.98%,Information Technology Services,509120,30.10
BX,Blackstone Inc.,239479819883,183.65,0.48%,Asset Management,581727,63.13
MS,Morgan Stanley,221139405600,137.12,0.82%,Capital Markets,1999534,20.89
GE,General Electric Company,203860144400,202.18,7.33%,Aerospace & Defense,8806825,33.10
GS,"The Goldman Sachs Group, Inc.",200418978600,639.75,1.11%,Capital Markets,992371,18.74
ISRG,"Intuitive Surgical, Inc.",217429470550,607.00,-0.57%,Medical Instruments & Supplies,838720,98.14
AMD,"Advanced Micro Devices, Inc.",199548831650,123.36,-0.31%,Semiconductors,12030803,109.78
DIS,The Walt Disney Company,197048381400,110.03,1.12%,Entertainment,2647904,40.00
CAT,Caterpillar Inc.,196196655110,407.70,2.54%,Farm & Heavy Construction Machinery,864071,18.86
QCOM,QUALCOMM Incorporated,189136640000,172.38,1.25%,Semiconductors,2243730,18.98
ADBE,Adobe Inc.,188976343080,435.19,-0.49%,Software - Infrastructure,939845,35.09
PLTR,Palantir Technologies Inc.,175111400398,77.39,0.68%,Software - Infrastructure,32612630,384.35
INTU,Intuit Inc.,171219630560,601.16,-1.72%,Software - Application,496231,59.44
ANET,Arista Networks Inc,163542043200,128.87,-0.74%,Computer Hardware,2195487,62.41
SPGI,S&P Global Inc.,158006311500,509.26,-0.33%,Financial Data & Stock Exchanges,332853,44.86
BLK,"BlackRock, Inc.",156360804833,1008.66,0.23%,Asset Management,126771,24.91
C,Citigroup Inc.,153340299000,82.46,0.94%,Banks - Diversified,4631742,23.27
AMAT,"Applied Materials, Inc.",159083554350,189.52,-3.07%,Semiconductor Equipment & Materials,2278493,22.71
UNP,Union Pacific Corporation,149781854420,246.98,4.74%,Railroads,2085452,22.57
LOW,"Lowe's Companies, Inc.",145679700000,260.21,0.86%,Home Improvement Retail,454712,21.46
HON,Honeywell International Inc.,145063603230,225.63,1.14%,Conglomerates,795528,25.76
ETN,Eaton Corporation plc,146710096000,370.03,-0.32%,Specialty Industrial Machinery,665790,39.49
KKR,KKR & Co. Inc.,143457865790,164.25,1.70%,Asset Management,910928,49.85
UBER,"Uber Technologies, Inc.",142809252200,67.98,0.24%,Software - Application,6057491,33.57
CMCSA,Comcast Corporation,141576239000,37.11,,Telecom Services,3973419,9.97
SHOP,Shopify Inc.,137440487449,105.47,-0.85%,Software - Application,1343163,99.41
COP,ConocoPhillips,133314293600,103.93,0.84%,Oil & Gas Exploration & Production,1598482,12.25
BA,The Boeing Company,130781164800,177.48,1.53%,Aerospace & Defense,2243788,
PANW,"Palo Alto Networks, Inc.",123168740000,186.44,-0.67%,Software - Infrastructure,1242672,48.88
APP,AppLovin Corporation,121390276748,360.38,-0.37%,Software - Application,1231040,109.95
MU,"Micron Technology, Inc.",121700789100,104.96,-3.91%,Semiconductors,12112436,31.39
ADI,"Analog Devices, Inc.",111167656560,224.74,0.29%,Semiconductors,536329,68.32
PLD,"Prologis, Inc.",106630527750,118.03,2.51%,REIT - Industrial,1504716,34.78
MRVL,"Marvell Technology, Inc.",106665444470,126.87,1.33%,Semiconductors,4214336,
NKE,"NIKE, Inc.",107784647461,73.32,-0.97%,Footwear & Accessories,3663945,22.48
LRCX,Lam Research Corporation,107116110000,81.07,-2.62%,Semiconductor Equipment & Materials,4419970,26.91
KLAC,KLA Corporation,100760738447,753.17,-2.43%,Semiconductor Equipment & Materials,311751,34.37
SPOT,Spotify Technology S.A.,96618077623,495.96,0.49%,Internet Content & Information,365527,130.65
APO,"Apollo Global Management, Inc.",95566322400,171.05,1.27%,Asset Management,738001,17.87
BUD,Anheuser-Busch InBev SA/NV,94928626212,47.96,0.76%,Beverages - Brewers,719733,15.76
APH,Amphenol Corporation,94049636100,78.30,0.58%,Electronic Components,3441968,44.88
MSTR,MicroStrategy Incorporated,93002643096,377.69,0.10%,Software - Application,12400344,
INTC,Intel Corporation,93247060000,21.46,-1.82%,Semiconductors,19846044,
CRWD,"CrowdStrike Holdings, Inc.",93100718337,373.34,-1.23%,Software - Infrastructure,808129,741.14
SHW,The Sherwin-Williams Company,90097892220,360.00,0.63%,Specialty Chemicals,205664,35.60
TT,Trane Technologies plc,89910589440,398.64,-0.23%,Building Products & Equipment,495652,37.06
ICE,"Intercontinental Exchange, Inc.",88520868090,156.17,1.30%,Financial Data & Stock Exchanges,951904,36.62
PYPL,"PayPal Holdings, Inc.",90078219000,88.80,-1.17%,Credit Services,2897795,21.44
BN,Brookfield Corporation,89265928400,59.42,0.84%,Asset Management,882307,104.07
CDNS,"Cadence Design Systems, Inc.",88172811870,323.85,0.73%,Software - Application,394775,84.38
MCO,Moody's Corporation,87345648000,482.02,-0.54%,Financial Data & Stock Exchanges,104424,43.97
PH,Parker-Hannifin Corporation,86820352800,677.72,0.48%,Specialty Industrial Machinery,111692,30.45
SNPS,"Synopsys, Inc.",84198636600,555.35,1.96%,Software - Infrastructure,573667,37.54
ABNB,"Airbnb, Inc.",84001238855,133.02,0.39%,Travel Services,1319815,45.69
HCA,"HCA Healthcare, Inc.",81703480320,325.41,1.85%,Medical Care Facilities,1121275,14.49
WELL,Welltower Inc.,81665793500,131.30,0.11%,REIT - Healthcare Facilities,552638,85.72
CTAS,Cintas Corporation,80313326880,198.21,-0.41%,Specialty Business Services,199888,47.96
MSI,"Motorola Solutions, Inc.",78867742320,472.99,0.23%,Communication Equipment,126156,51.69
COF,Capital One Financial Corporation,76600543900,206.11,2.58%,Credit Services,1810118,18.97
PNC,"The PNC Financial Services Group, Inc.",77734800000,197.28,0.50%,Banks - Regional,870551,16.59
MAR,"Marriott International, Inc.",77386253175,280.23,-0.06%,Lodging,229343,29.28
CMG,"Chipotle Mexican Grill, Inc.",76168781000,57.02,2.00%,Restaurants,4076543,52.05
ITW,Illinois Tool Works Inc.,76524042000,259.61,0.18%,Specialty Industrial Machinery,132992,22.42
USB,U.S. Bancorp,75864258900,48.60,-0.06%,Banks - Regional,2117515,14.92
SCCO,Southern Copper Corporation,76156099850,95.64,-0.74%,Copper,279561,25.06
EOG,"EOG Resources, Inc.",75379549000,133.79,-0.17%,Oil & Gas Exploration & Production,821273,10.81
SAN,"Banco Santander, S.A.",72193765829,5.04,3.60%,Banks - Diversified,2977117,6.31
DASH,"DoorDash, Inc.",74110845319,179.51,1.03%,Internet Content & Information,438467,
COIN,"Coinbase Global, Inc.",73981351266,297.05,0.41%,Financial Data & Stock Exchanges,6005142,49.72
EMR,Emerson Electric Co.,73700159055,130.42,0.37%,Specialty Industrial Machinery,836732,37.72
FTNT,"Fortinet, Inc.",75296342720,96.47,-1.80%,Software - Infrastructure,985673,49.37
BMO,Bank of Montreal,72937313400,100.28,0.17%,Banks - Diversified,87930,14.52
EPD,Enterprise Products Partners L.P.,73263866000,33.68,-0.34%,Oil & Gas Midstream,1082231,12.71
ET,Energy Transfer LP,72718582528,21.06,0.65%,Oil & Gas Midstream,6033678,15.62
WMB,"The Williams Companies, Inc.",72165392000,58.84,-0.61%,Oil & Gas Midstream,1733957,25.08
ECL,Ecolab Inc.,68420434060,241.60,-0.01%,Specialty Chemicals,229665,33.89
CRH,CRH plc,68480536044,100.88,0.54%,Building Materials,653323,20.20
SE,Sea Limited,67505661261,117.59,-0.65%,Internet Retail,735100,785.40
CNQ,Canadian Natural Resources Limited,66523885800,31.61,0.24%,Oil & Gas Exploration & Production,1025052,12.20
WDAY,"Workday, Inc.",66843450250,250.50,-1.18%,Software - Application,562952,41.12
VST,Vistra Corp.,66726041730,194.32,3.99%,Utilities - Independent Power Producers,5490148,36.63
SPG,"Simon Property Group, Inc.",56359879800,173.82,0.53%,REIT - Retail,166578,22.99
FDX,FedEx Corporation,65146582735,269.83,-0.22%,Integrated Freight & Logistics,479378,17.28
CSX,CSX Corporation,64100680800,33.60,1.08%,Railroads,5184132,17.87
ADSK,"Autodesk, Inc.",64811750000,299.86,-0.53%,Software - Application,416639,59.93
RCL,Royal Caribbean Cruises Ltd.,63497520000,234.61,-0.66%,Travel Services,625393,24.05
CARR,Carrier Global Corporation,62832806810,69.90,-0.19%,Building Products & Equipment,1107776,18.33
TGT,Target Corporation,62161039920,135.88,0.08%,Discount Stores,1571591,14.39
TFC,Truist Financial Corporation,62559380000,46.99,-0.05%,Banks - Regional,1854859,
BK,The Bank of New York Mellon Corporation,60521954400,85.10,0.91%,Banks - Diversified,878294,18.82
ARES,Ares Management Corporation,38449965900,194.75,0.49%,Asset Management,292757,88.50
OKE,"ONEOK, Inc.",62105881300,103.96,-2.20%,Oil & Gas Midstream,1121286,22.52
HLT,Hilton Worldwide Holdings Inc.,60457440000,247.94,-0.03%,Lodging,259815,52.99
MET,"MetLife, Inc.",59381939200,86.82,1.24%,Insurance - Life,1068043,17.33
CM,Canadian Imperial Bank of Commerce,60500584850,64.06,0.67%,Banks - Diversified,242854,12.22
GM,General Motors Company,58014896000,53.89,2.13%,Auto Manufacturers,2114965,5.62
TTD,"The Trade Desk, Inc.",58088723825,118.30,-1.98%,Software - Application,2123207,189.75
SLB,Schlumberger Limited,58323630000,41.65,0.04%,Oil & Gas Equipment & Services,6828214,13.39
SNOW,Snowflake Inc.,58213135000,176.38,-0.63%,Software - Application,1660878,
NSC,Norfolk Southern Corporation,56978544000,256.12,1.70%,Railroads,334161,23.65
BBVA,"Banco Bilbao Vizcaya Argentaria, S.A.",61952163300,11.13,3.31%,Banks - Diversified,1387417,6.45
NU,Nu Holdings Ltd.,56943427395,11.98,-0.13%,Banks - Regional,9897607,32.94
VRT,Vertiv Holdings Co,57399308741,152.93,2.92%,Electrical Equipment & Parts,3896094,101.98
ROP,"Roper Technologies, Inc.",57308539050,529.88,-0.86%,Software - Application,87485,39.07
CHTR,"Charter Communications, Inc.",50166748800,355.12,0.66%,Telecom Services,281442,11.06
CPRT,"Copart, Inc.",55557024480,57.30,-0.63%,Specialty Business Services,464726,40.61
NXPI,NXP Semiconductors N.V.,54925653160,216.29,0.09%,Semiconductors,574848,20.62
AMP,"Ameriprise Financial, Inc.",54476608338,565.24,0.66%,Asset Management,56330,21.56
XYZ,"Block, Inc.",54203033678,87.95,0.54%,Software - Infrastructure,1802827,48.60
JCI,Johnson Controls International plc,54365388500,81.72,-0.46%,Building Products & Equipment,892383,32.58
FCX,Freeport-McMoRan Inc.,52850285400,37.07,-5.18%,Copper,14418454,26.86
MPLX,MPLX LP,53538465500,51.96,0.03%,Oil & Gas Midstream,575597,12.40
PWR,"Quanta Services, Inc.",52746195960,358.01,0.19%,Engineering & Construction,238685,66.05
MFC,Manulife Financial Corporation,53940385200,30.82,1.27%,Insurance - Life,370705,14.85
BCS,Barclays PLC,52130172000,14.85,2.52%,Banks - Diversified,13864974,10.49
HWM,Howmet Aerospace Inc.,51477331310,127.58,0.69%,Aerospace & Defense,1120480,48.55
URI,"United Rentals, Inc.",51351496672,789.41,0.88%,Rental & Leasing Services,131631,20.45
FANG,"Diamondback Energy, Inc.",52581379120,176.72,-0.49%,Oil & Gas Exploration & Production,488867,10.28
DFS,Discover Financial Services,50940739700,203.66,3.12%,Credit Services,966820,14.39
ING,ING Groep N.V.,49173088400,16.71,2.14%,Banks - Diversified,1159437,11.67
CVNA,Carvana Co.,49289231812,238.57,1.93%,Auto & Truck Dealerships,641068,
CMI,Cummins Inc.,50208612000,367.20,0.33%,Specialty Industrial Machinery,201811,24.22
PSX,Phillips 66,48959845950,120.37,1.54%,Oil & Gas Refining & Marketing,455950,15.16
SU,Suncor Energy Inc.,49316425300,39.27,0.10%,Oil & Gas Integrated,972294,8.58
ROST,"Ross Stores, Inc.",49040646560,148.82,-0.65%,Apparel Retail,568118,23.41
MPC,Marathon Petroleum Corporation,48597230690,151.00,2.30%,Oil & Gas Refining & Marketing,660434,11.78
MSCI,MSCI Inc.,48041606900,613.31,0.05%,Financial Data & Stock Exchanges,137421,40.25
DDOG,"Datadog, Inc.",48400342649,140.99,0.62%,Software - Application,1291507,263.81
FLUT,Flutter Entertainment plc,47505876181,268.03,0.45%,Gambling,339948,
O,Realty Income Corporation,47042591250,53.92,-0.07%,REIT - Retail,1422656,51.25
OXY,Occidental Petroleum Corporation,47564700504,50.35,0.30%,Oil & Gas Exploration & Production,3789046,13.25
LULU,Lululemon Athletica Inc.,44662843760,387.64,1.26%,Apparel Retail,519452,27.66
AIG,"American International Group, Inc.",46626732750,75.05,0.40%,Insurance - Diversified,686159,14.86
GLW,Corning Incorporated,46243848090,54.49,0.89%,Electronic Components,1522928,300.06
TEL,TE Connectivity plc,46290177570,155.59,0.32%,Electronic Components,388106,15.01
DHI,"D.R. Horton, Inc.",46539454740,145.79,-0.78%,Residential Construction,704000,10.12
AXON,"Axon Enterprise, Inc.",46332416480,605.88,-0.28%,Aerospace & Defense,110904,157.00
LYG,Lloyds Banking Group plc,45568377719,3.08,2.16%,Banks - Regional,8624194,7.93
TRGP,Targa Resources Corp.,46070170010,209.61,-0.79%,Oil & Gas Midstream,295621,38.20
BKR,Baker Hughes Company,45330186060,45.51,-0.65%,Oil & Gas Equipment & Services,1677129,20.54
HES,Hess Corporation,45130043460,145.10,-0.33%,Oil & Gas Exploration & Production,638176,17.10
HOOD,"Robinhood Markets, Inc.",44835246490,50.25,0.18%,Capital Markets,7586346,85.68
AEM,Agnico Eagle Mines Limited,44750367264,88.16,-1.20%,Gold,558303,45.29
VLO,Valero Energy Corporation,42764301800,138.85,2.79%,Oil & Gas Refining & Marketing,1054818,11.94
AME,"AMETEK, Inc.",43846744480,189.88,0.63%,Specialty Industrial Machinery,233215,33.02
DAL,"Delta Air Lines, Inc.",43737146180,67.88,0.15%,Airlines,2500417,9.40
RBLX,Roblox Corporation,42858030585,66.18,0.27%,Electronic Gaming & Multimedia,1613928,
A,"Agilent Technologies, Inc.",43530389900,151.75,-0.56%,Diagnostics & Research,414263,34.33
FAST,Fastenal Company,43310181600,75.47,-0.17%,Industrial Distribution,615824,37.43
FIS,"Fidelity National Information Services, Inc.",42271556080,78.83,0.40%,Information Technology Services,383687,31.41
NET,"Cloudflare, Inc.",42243737028,123.59,0.41%,Software - Infrastructure,860458,
CBRE,"CBRE Group, Inc.",42671149920,140.40,0.68%,Real Estate Services,506514,45.13
PRU,"Prudential Financial, Inc.",41776600000,117.70,0.29%,Insurance - Life,407165,10.45
NWG,NatWest Group plc,41699947700,10.72,3.33%,Banks - Regional,2748874,788.12
ODFL,"Old Dominion Freight Line, Inc.",40893406920,191.65,1.51%,Trucking,273407,33.53
EW,Edwards Lifesciences Corporation,40719792000,68.91,-0.19%,Medical Devices,854905,9.96
GEHC,GE HealthCare Technologies Inc.,39898719090,88.43,1.26%,Health Information Services,472474,23.99
IT,"Gartner, Inc.",40481623326,521.64,-0.61%,Information Technology Services,55387,38.70
F,Ford Motor Company,39151503200,10.10,0.65%,Auto Manufacturers,22391546,11.40
CTSH,Cognizant Technology Solutions Corporation,38981682880,79.91,1.09%,Information Technology Services,638997,17.36
CPNG,"Coupang, Inc.",40024623074,21.96,-1.30%,Internet Retail,983425,39.04
OWL,Blue Owl Capital Inc.,38413341473,25.67,0.53%,Asset Management,6018264,152.35
DB,Deutsche Bank Aktiengesellschaft,37588484500,19.81,1.83%,Banks - Regional,1062414,6.44
HUBS,"HubSpot, Inc.",37632571928,734.11,0.54%,Software - Application,61572,
IR,Ingersoll Rand Inc.,37975820760,94.00,-0.24%,Specialty Industrial Machinery,526970,45.97
IQV,IQVIA Holdings Inc.,37283730000,203.63,-0.87%,Diagnostics & Research,251568,26.99
IMO,Imperial Oil Limited,37281924460,71.32,0.45%,Oil & Gas Integrated,102354,10.65
LEN,Lennar Corporation,36717085153,135.14,-0.73%,Residential Construction,497075,9.03
FERG,Ferguson Enterprises Inc.,36685028134,183.18,-1.42%,Industrial Distribution,468659,22.06
SYY,Sysco Corporation,36065812920,73.85,0.59%,Food Distribution,1081435,18.87
STLA,Stellantis N.V.,37801371719,13.18,0.50%,Auto Manufacturers,4053729,2.80
WAB,Westinghouse Air Brake Technologies Corporation,35616725285,208.52,0.74%,Railroads,127749,34.57
IDXX,"IDEXX Laboratories, Inc.",35258732973,433.34,0.64%,Diagnostics & Research,112550,41.56
YUM,"Yum! Brands, Inc.",35394701760,126.73,0.40%,Restaurants,423201,23.68
RJF,"Raymond James Financial, Inc.",34918400000,171.94,0.84%,Asset Management,374717,17.58
UAL,"United Airlines Holdings, Inc.",35508741720,105.64,-2.16%,Airlines,3996838,13.02
DXCM,"DexCom, Inc.",34016918550,86.99,-0.11%,Medical Devices,1379560,52.46
MPWR,"Monolithic Power Systems, Inc.",33629907600,688.12,-0.19%,Semiconductors,225309,77.72
EFX,Equifax Inc.,33522818400,268.48,-1.25%,Consulting Services,182088,60.18
CCL,Carnival Corporation & plc,31731820945,25.39,0.53%,Travel Services,5489029,22.54
HEI,HEICO Corporation,29342035839,239.24,-0.94%,Aerospace & Defense,102932,65.81
DECK,Deckers Outdoor Corporation,32651076240,215.42,0.23%,Footwear & Accessories,717298,37.78
CUK,Carnival Corporation & plc,32115938544,23.03,0.22%,Leisure,644063,15.96
DD,"DuPont de Nemours, Inc.",32460475075,78.02,0.51%,Specialty Chemicals,321787,40.46
ROK,"Rockwell Automation, Inc.",32660885350,288.20,-0.26%,Specialty Industrial Machinery,196073,34.90
IRM,Iron Mountain Incorporated,32293805700,110.82,0.76%,REIT - Specialty,283578,305.50
HPE,Hewlett Packard Enterprise Company,32120358600,24.37,-0.23%,Communication Equipment,3074098,12.65
LYV,"Live Nation Entertainment, Inc.",31910289620,138.33,-0.15%,Entertainment,508829,147.19
EQT,EQT Corporation,31862925600,53.31,-0.17%,Oil & Gas Exploration & Production,2271893,62.82
LVS,Las Vegas Sands Corp.,31901144000,43.82,-0.41%,Resorts & Casinos,1102599,21.67
ANSS,"ANSYS, Inc.",31187257837,360.08,0.97%,Software - Application,119375,54.95
MCHP,Microchip Technology Incorporated,31404344800,58.49,0.02%,Semiconductors,1504857,40.61
HPQ,HP Inc.,31069247740,33.45,0.96%,Computer Hardware,1295977,11.79
TW,Tradeweb Markets Inc.,30372828320,130.06,1.16%,Capital Markets,197459,61.81
EBAY,eBay Inc.,30598520000,63.92,0.06%,Internet Retail,996984,16.05
AVB,"AvalonBay Communities, Inc.",30497035170,211.75,-1.24%,REIT - Residential,156395,29.33
KEYS,"Keysight Technologies, Inc.",29910440560,173.36,0.37%,Scientific & Technical Instruments,187142,49.21
XYL,Xylem Inc.,29498381900,121.31,-0.28%,Specialty Industrial Machinery,414126,34.96
FITB,Fifth Third Bancorp,29456953990,43.83,-0.24%,Banks - Regional,1499982,14.59
NUE,Nucor Corporation,28668319170,123.85,1.44%,Steel,522429,11.78
DOW,Dow Inc.,28847290860,41.32,1.22%,Chemicals,1575035,27.47
GDDY,GoDaddy Inc.,28681881300,205.54,0.61%,Software - Infrastructure,164858,16.40
PPG,"PPG Industries, Inc.",28505840000,123.98,0.90%,Specialty Chemicals,353469,19.47
EL,The Estée Lauder Companies Inc.,28230031414,79.50,-0.25%,Household & Personal Products,582250,140.72
SW,Smurfit Westrock Plc,28790640135,54.93,-0.77%,Packaging & Containers,643642,
STT,State Street Corporation,28570496460,97.47,0.31%,Asset Management,744406,15.23
FTV,Fortive Corporation,27738572550,80.26,0.07%,Scientific & Technical Instruments,363350,32.01
BR,"Broadridge Financial Solutions, Inc.",27463070550,236.54,0.68%,Information Technology Services,123048,40.65
GPN,Global Payments Inc.,27617797400,108.18,-0.31%,Specialty Business Services,323769,20.51
SYF,Synchrony Financial,27425391360,70.57,0.11%,Credit Services,1042319,9.18
DOV,Dover Corporation,27275141520,199.55,0.37%,Specialty Industrial Machinery,121361,17.78
CVE,Cenovus Energy Inc.,27344501400,14.97,0.01%,Oil & Gas Integrated,2637912,10.39
IOT,Samsara Inc.,26328621669,47.24,-1.19%,Software - Infrastructure,603555,
CPAY,"Corpay, Inc.",26030784510,375.45,0.55%,Software - Infrastructure,70860,26.63
CDW,CDW Corporation,25815902080,195.48,0.61%,Information Technology Services,210642,23.67
WSM,"Williams-Sonoma, Inc.",26110741000,211.37,-0.35%,Specialty Retail,269326,25.10
NTAP,"NetApp, Inc.",25626721300,125.48,-0.45%,Computer Hardware,308258,23.17
TPG,TPG Inc.,25003947061,69.01,0.73%,Asset Management,128880,
TROW,"T. Rowe Price Group, Inc.",25042873275,112.76,-0.69%,Asset Management,332399,12.36
WBD,"Warner Bros. Discovery, Inc.",24654358500,10.21,1.54%,Entertainment,9774247,
LYB,LyondellBasell Industries N.V.,25032269560,77.14,0.07%,Specialty Chemicals,1115398,11.73
VTR,"Ventas, Inc.",24482661960,59.06,1.19%,REIT - Healthcare Facilities,558561,
HAL,Halliburton Company,25155904770,28.43,-0.19%,Oil & Gas Equipment & Services,3476840,10.02
HBAN,Huntington Bancshares Incorporated,24610601400,16.95,0.50%,Banks - Regional,5032957,16.28
EME,"EMCOR Group, Inc.",24656665579,530.70,-0.99%,Engineering & Construction,100665,27.24
WAT,Waters Corporation,23789668292,407.30,-0.26%,Diagnostics & Research,94543,38.49
PHM,"PulteGroup, Inc.",23972034980,116.97,0.07%,Residential Construction,547900,8.63
BAM,Brookfield Asset Management Ltd.,24130612682,57.68,0.95%,Asset Management,226873,52.72
DVN,Devon Energy Corporation,23950574000,36.42,-0.11%,Oil & Gas Exploration & Production,2379765,6.76
WDC,Western Digital Corporation,23725940040,68.29,-0.50%,Computer Hardware,1967731,78.89
ON,ON Semiconductor Corporation,23857405910,55.43,-1.07%,Semiconductors,2087946,13.90
PSTG,"Pure Storage, Inc.",23590197470,72.31,,Computer Hardware,581627,190.29
LII,Lennox International Inc.,23629291123,660.45,-0.43%,Building Products & Equipment,53692,31.51
ASX,"ASE Technology Holding Co., Ltd.",23908545690,10.87,-1.41%,Semiconductors,3043428,9.50
RKT,"Rocket Companies, Inc.",23208505372,11.71,-2.05%,Mortgage Finance,658697,
GFS,GlobalFoundries Inc.,23531202390,41.96,-0.94%,Semiconductors,832493,31.85
STM,STMicroelectronics N.V.,22727860849,25.65,0.77%,Semiconductors,2167810,10.47
STX,Seagate Technology Holdings plc,22883315400,107.42,-0.70%,Computer Hardware,1256738,27.95
FWONK,Formula One Group,28618169887,91.31,0.35%,Entertainment,169471,79.12
NTRA,"Natera, Inc.",22357756181,171.22,-0.42%,Diagnostics & Research,330132,
PTC,PTC Inc.,22618503080,187.66,-0.14%,Software - Application,274726,60.23
NRG,"NRG Energy, Inc.",22353158100,111.42,0.97%,Utilities - Independent Power Producers,800577,28.22
RF,Regions Financial Corporation,22139927040,24.34,0.06%,Banks - Regional,1260098,13.72
ZBH,"Zimmer Biomet Holdings, Inc.",21842399280,110.58,0.78%,Medical Devices,371683,20.90
TOST,"Toast, Inc.",21765760843,38.74,-0.10%,Software - Infrastructure,1449932,
TECK,Teck Resources Limited,21969920000,43.32,0.96%,Other Industrial Metals & Mining,925088,64.13
EXPE,"Expedia Group, Inc.",21087480870,170.59,-1.76%,Travel Services,991923,22.05
PINS,"Pinterest, Inc.",21950835496,32.35,2.24%,Internet Content & Information,4387947,104.90
WY,Weyerhaeuser Company,21604915770,30.03,0.91%,REIT - Specialty,576058,40.22
NTRS,Northern Trust Corporation,21824792890,110.04,2.47%,Asset Management,1205954,13.58
IFF,International Flavors & Fragrances Inc.,21858254180,85.07,-0.49%,Specialty Chemicals,209650,
DRI,"Darden Restaurants, Inc.",21748340550,185.56,-0.05%,Restaurants,180810,21.29
PBA,Pembina Pipeline Corporation,21746691260,37.33,0.17%,Oil & Gas Midstream,222905,15.41
RYAAY,Ryanair Holdings plc,24761941600,46.12,4.36%,Airlines,714728,12.45
ZBRA,Zebra Technologies Corporation,21580040400,418.36,-0.53%,Communication Equipment,81745,56.83
ILMN,"Illumina, Inc.",22261096000,134.03,-4.51%,Diagnostics & Research,1133079,
TER,"Teradyne, Inc.",21953662800,130.43,-3.24%,Semiconductor Equipment & Materials,735070,42.79
PUK,Prudential plc,21317016664,16.10,0.91%,Insurance - Life,795851,12.88
TS,Tenaris S.A.,21789208588,38.67,-0.03%,Oil & Gas Equipment & Services,819740,8.41
CFG,"Citizens Financial Group, Inc.",20726168030,47.52,1.04%,Banks - Regional,1245202,18.44
CG,The Carlyle Group Inc.,20294819940,56.86,0.43%,Asset Management,537148,188.70
IP,International Paper Company,20173982560,58.40,0.36%,Packaging & Containers,1119210,49.71
LH,Labcorp Holdings Inc.,20280021071,241.45,-0.41%,Diagnostics & Research,95402,46.09
DKNG,DraftKings Inc.,19914727520,41.06,0.20%,Gambling,1315856,
DKS,"DICK'S Sporting Goods, Inc.",19350307275,243.63,3.03%,Specialty Retail,481924,16.99
SSNC,"SS&C Technologies Holdings, Inc.",19725633400,79.90,0.33%,Software - Application,174916,28.54
SMCI,"Super Micro Computer, Inc.",19827230900,33.66,-0.59%,Computer Hardware,12084840,18.98
SYM,Symbotic Inc.,19365909307,33.16,-0.39%,Specialty Industrial Machinery,401334,
YPF,YPF Sociedad Anónima,16918088220,42.70,-0.74%,Oil & Gas Integrated,785504,15.07
FIX,"Comfort Systems USA, Inc.",19585540002,545.39,-0.89%,Engineering & Construction,135585,42.10
SOFI,"SoFi Technologies, Inc.",19087788500,17.83,1.34%,Credit Services,15851406,146.58
ULTA,"Ulta Beauty, Inc.",19404108900,416.75,-0.40%,Specialty Retail,197847,16.77
BLDR,"Builders FirstSource, Inc.",19078791300,167.78,1.20%,Building Products & Equipment,302380,16.17
PODD,Insulet Corporation,19562683272,275.00,-1.39%,Medical Devices,124503,47.51
MDB,"MongoDB, Inc.",19414485420,258.79,-0.73%,Software - Infrastructure,387025,
LUV,Southwest Airlines Co.,19107620820,32.06,0.63%,Airlines,3874700,
KEY,KeyCorp,17149195900,17.31,0.06%,Banks - Regional,2390297,1730.00
ONON,On Holding AG,19253635143,59.81,2.13%,Footwear & Accessories,1308585,134.19
TRMB,Trimble Inc.,19024300800,77.06,-0.45%,Scientific & Technical Instruments,234572,12.94
